sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
N_lixi,0,Jour_Semis,continuous,,286.02235412597656,Jour_Semis <= 286,Jour_Semis > 286,7500,3279,4221,3.7344834666666666,3.23889112534309,4.119474532101388,0.8805834067582983,0.19079862350745966
N_lixi,17,Jours_semis_F1,continuous,,175.5938262939453,Jours_semis_F1 <= 175.6,Jours_semis_F1 > 175.6,1168,707,461,3.552833904109592,3.2902008486562937,3.9556138828633323,0.6654130342070386,0.10578333649542226
N_lixi,22,Jours_semis_F1,continuous,,138.37330627441406,Jours_semis_F1 <= 138.4,Jours_semis_F1 > 138.4,158,77,81,2.8665822784810104,2.5470909090909095,3.170296296296297,0.6232053872053873,0.09703400745474841
N_lixi,50,Jours_op_recolte,continuous,,165.3717498779297,Jours_op_recolte <= 165.4,Jours_op_recolte > 165.4,230,108,122,3.794278260869566,3.4668333333333328,4.084147540983608,0.6173142076502751,0.09491622542190323
N_lixi,49,Jours_F1_F2,continuous,,30.573973655700684,Jours_F1_F2 <= 30.57,Jours_F1_F2 > 30.57,341,230,111,3.9806334310850464,3.794278260869566,4.366774774774775,0.5724965139052092,0.07195943583053238
N_lixi,53,Jour_Semis,continuous,,299.5823974609375,Jour_Semis <= 299.6,Jour_Semis > 299.6,111,45,66,4.366774774774775,4.044755555555556,4.586333333333334,0.5415777777777784,0.0707020755999043
N_lixi,33,n_ferti,categorical,0.0,0.5,n_ferti != 0.0,n_ferti == 0.0,2806,2121,685,3.9807690662865154,3.834468646864688,4.433766423357665,0.599297776492977,0.06627370333649943
N_lixi,2,Jour_Semis,continuous,,270.7617950439453,Jour_Semis <= 270.8,Jour_Semis > 270.8,2111,838,1273,3.065189009947893,2.7548042959427237,3.2695113904163433,0.5147070944736196,0.06341854362659424
N_lixi,25,Jours_av_PREPA,continuous,,15.54647159576416,Jours_av_PREPA <= 15.55,Jours_av_PREPA > 15.55,461,352,109,3.9556138828633323,4.093136363636355,3.5115045871559625,-0.5816317764803927,0.061075012079948275
N_lixi,1,Jours_op_recolte,continuous,,127.82612991333008,Jours_op_recolte <= 127.8,Jours_op_recolte > 127.8,3279,2111,1168,3.23889112534309,3.065189009947893,3.552833904109592,0.4876448941616993,0.054532524784787706
N_lixi,48,Jours_semis_F1,continuous,,150.68810272216797,Jours_semis_F1 <= 150.7,Jours_semis_F1 > 150.7,1415,341,1074,4.394532862190807,3.9806334310850464,4.525947858472989,0.5453144273879427,0.05439259219996778
N_lixi,18,n_ferti,categorical,1.0,0.5,n_ferti != 1.0,n_ferti == 1.0,707,549,158,3.2902008486562937,3.412116575591985,2.8665822784810104,-0.5455342971109745,0.051645765926367077
N_lixi,56,Jours_av_PREPA,continuous,,15.502459049224854,Jours_av_PREPA <= 15.5,Jours_av_PREPA > 15.5,1074,811,263,4.525947858472989,4.654266337854494,4.130258555133081,-0.5240077827214131,0.05077424971208436
N_lixi,14,Jour_Semis,continuous,,279.0564270019531,Jour_Semis <= 279.1,Jour_Semis > 279.1,327,177,150,3.562128440366969,3.3645536723163847,3.795266666666669,0.4307129943502841,0.04606223098482137
N_lixi,38,Jour_Semis,continuous,,293.9193572998047,Jour_Semis <= 293.9,Jour_Semis > 293.9,470,112,358,3.5512425531914884,3.1732678571428576,3.6694916201117302,0.4962237629688726,0.04469515512720407
N_lixi,32,Jours_op_recolte,continuous,,132.45098114013672,Jours_op_recolte <= 132.5,Jours_op_recolte > 132.5,4221,2806,1415,4.119474532101388,3.9807690662865154,4.394532862190807,0.41376379590429124,0.03815209380131754
N_lixi,19,Jour_Semis,continuous,,277.8209533691406,Jour_Semis <= 277.8,Jour_Semis > 277.8,549,381,168,3.412116575591985,3.2928083989501307,3.6826904761904764,0.38988207724034574,0.03228167872727426
N_lixi,10,n_ferti,categorical,0.0,0.5,n_ferti != 0.0,n_ferti == 0.0,1273,946,327,3.2695113904163433,3.1683636363636354,3.562128440366969,0.3937648040033337,0.029597557400055905
N_lixi,11,Jours_av_PREPA,continuous,,15.68351936340332,Jours_av_PREPA <= 15.68,Jours_av_PREPA > 15.68,946,688,258,3.1683636363636354,3.266395348837208,2.9069457364341083,-0.3594496124030999,0.025627244401345596
N_lixi,4,Jours_op_recolte,continuous,,79.21760559082031,Jours_op_recolte <= 79.22,Jours_op_recolte > 79.22,354,231,123,2.5793615819209035,2.464865800865801,2.7943902439024395,0.32952444303663864,0.02461987460280876
N_lixi,34,Jours_av_PREPA,continuous,,16.978405952453613,Jours_av_PREPA <= 16.98,Jours_av_PREPA > 16.98,2121,1651,470,3.834468646864688,3.9150963052695333,3.5512425531914884,-0.36385375207804493,0.022835856732046134
N_lixi,3,Jour_Semis,continuous,,264.5932922363281,Jour_Semis <= 264.6,Jour_Semis > 264.6,838,354,484,2.7548042959427237,2.5793615819209035,2.8831239669421485,0.303762385021245,0.022512751342526865
N_lixi,7,Jours_semis_F1,continuous,,209.8431625366211,Jours_semis_F1 <= 209.8,Jours_semis_F1 > 209.8,484,385,99,2.8831239669421485,2.8078961038960997,3.1756767676767677,0.367780663780668,0.022008122027371152
N_lixi,60,Jour_Semis,continuous,,299.8049774169922,Jour_Semis <= 299.8,Jour_Semis > 299.8,263,109,154,4.130258555133081,3.9543302752293554,4.2547792207792225,0.3004489455498671,0.02190670651937223
N_lixi,41,Jour_Semis,continuous,,314.7827453613281,Jour_Semis <= 314.8,Jour_Semis > 314.8,685,574,111,4.433766423357665,4.492400696864123,4.130558558558557,-0.36184213830556544,0.017778372874413362
N_lixi,57,Jour_Semis,continuous,,299.49461364746094,Jour_Semis <= 299.5,Jour_Semis > 299.5,811,310,501,4.654266337854494,4.493058064516125,4.754015968063872,0.2609579035477463,0.016080465652322726
N_lixi,35,Jours_semis_F1,continuous,,228.21255493164062,Jours_semis_F1 <= 228.2,Jours_semis_F1 > 228.2,1651,1411,240,3.9150963052695333,3.8629624379872434,4.221599999999999,0.3586375620127553,0.015979222942581923
N_lixi,29,Jours_av_PREPA,continuous,,24.44603729248047,Jours_av_PREPA <= 24.45,Jours_av_PREPA > 24.45,109,69,40,3.5115045871559625,3.6075942028985506,3.3457500000000002,-0.26184420289855037,0.015927294587274064
N_lixi,45,has_prepa,categorical,0.0,0.5,has_prepa != 0.0,has_prepa == 0.0,111,48,63,4.130558558558557,3.986625,4.240222222222221,0.25359722222222114,0.015784281356116182
N_lixi,26,has_prepa,categorical,1.0,0.5,has_prepa != 1.0,has_prepa == 1.0,352,234,118,4.093136363636355,4.16628205128205,3.9480847457627126,-0.2181973055193378,0.010609900333553388
N_lixi,42,Jour_Semis,continuous,,290.2440490722656,Jour_Semis <= 290.2,Jour_Semis > 290.2,574,87,487,4.492400696864123,4.249057471264368,4.5358726899384045,0.2868152186740369,0.010578615017938612
