sortie,metamodele,parametre,Shapley_variance,Shapley_normalise,variance_modele,n_permutations,n_mc
N_lixi,ExtraTrees,Jour_Semis,0.15572427281209267,0.3171865090733475,0.4909549062065636,64,700
N_lixi,ExtraTrees,Jours_op_recolte,0.07190826588850577,0.1464661315722776,0.4909549062065636,64,700
N_lixi,ExtraTrees,n_ferti,0.04394610997200205,0.0895114997659525,0.4909549062065636,64,700
N_lixi,ExtraTrees,Jours_semis_F1,0.034712996533194505,0.0707050608810688,0.4909549062065636,64,700
N_lixi,ExtraTrees,has_prepa,0.02782416993216815,0.05667357547591438,0.4909549062065636,64,700
N_lixi,ExtraTrees,Jours_av_PREPA,0.016577832526815613,0.03376650750861563,0.4909549062065636,64,700
N_lixi,ExtraTrees,nb_f2,0.013947540827957423,0.028409005901835628,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F2_2,0.011937574048384442,0.024315011210748232,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F2_1,0.011013645384255541,0.022433109935399397,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F1_2,0.010098351496381153,0.020568796377670555,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F3_2,0.0098384837537124,0.02003948556035607,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F1_1,0.009540643078537225,0.019432829691538124,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f3_2,0.009480877455051277,0.01931109626402696,0.4909549062065636,64,700
N_lixi,ExtraTrees,prepa_1,0.00840201579538783,0.01711362019030884,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f1_2,0.00731745677155801,0.014904539457803635,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f3_1,0.007311194397960363,0.014891783961283527,0.4909549062065636,64,700
N_lixi,ExtraTrees,Jours_F1_F2,0.006541862356780353,0.013324772344831076,0.4909549062065636,64,700
N_lixi,ExtraTrees,nb_f3,0.006120082501046511,0.01246567133493836,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f2_2,0.006093385855867161,0.012411294354808707,0.4909549062065636,64,700
N_lixi,ExtraTrees,nb_prepa,0.0052010173782437085,0.010593676348873149,0.4909549062065636,64,700
N_lixi,ExtraTrees,prepa_2,0.004769033843182308,0.009713792005931787,0.4909549062065636,64,700
N_lixi,ExtraTrees,Dose_F3_1,0.003985419592709337,0.00811768971513754,0.4909549062065636,64,700
N_lixi,ExtraTrees,nb_f1,0.003957065879623115,0.00805993754130695,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f2_1,0.0031129144944518528,0.006340530372746962,0.4909549062065636,64,700
N_lixi,ExtraTrees,Jours_F2_F3,0.0019344885115599657,0.003940257011600271,0.4909549062065636,64,700
N_lixi,ExtraTrees,type_f1_1,-0.00034179488086514285,-0.0006961838583222887,0.4909549062065636,64,700
dCorg,ExtraTrees,n_ferti,3244.063145456593,0.37926679206049185,8553.512232990794,64,700
dCorg,ExtraTrees,Jours_op_recolte,1974.011376892557,0.230783720549182,8553.512232990794,64,700
dCorg,ExtraTrees,Jours_semis_F1,838.70313326574,0.09805365450123192,8553.512232990794,64,700
dCorg,ExtraTrees,type_f3_1,240.4490706815838,0.02811115061648882,8553.512232990794,64,700
dCorg,ExtraTrees,nb_prepa,212.4505528377484,0.02483781481229771,8553.512232990794,64,700
dCorg,ExtraTrees,nb_f2,192.6852784456571,0.02252703605221634,8553.512232990794,64,700
dCorg,ExtraTrees,nb_f1,165.57013768542544,0.01935697678046492,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F1_1,133.51232079665579,0.015609064108390512,8553.512232990794,64,700
dCorg,ExtraTrees,type_f1_1,131.27370501014428,0.015347345211458654,8553.512232990794,64,700
dCorg,ExtraTrees,Jours_F1_F2,129.835278139918,0.01517917723191473,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F2_2,128.1156306583891,0.014978131458589452,8553.512232990794,64,700
dCorg,ExtraTrees,Jours_F2_F3,121.24862394258214,0.0141753025704374,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F2_1,115.17902102239128,0.013465698988322854,8553.512232990794,64,700
dCorg,ExtraTrees,type_f1_2,107.08618972592777,0.012519557675138128,8553.512232990794,64,700
dCorg,ExtraTrees,type_f2_2,105.27753562548946,0.01230810604554177,8553.512232990794,64,700
dCorg,ExtraTrees,nb_f3,104.21252113865253,0.01218359409561678,8553.512232990794,64,700
dCorg,ExtraTrees,Jours_av_PREPA,100.11381543571427,0.011704410154413118,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F1_2,94.31654881596722,0.011026645692068977,8553.512232990794,64,700
dCorg,ExtraTrees,prepa_2,84.79308744708932,0.009913247931071333,8553.512232990794,64,700
dCorg,ExtraTrees,type_f3_2,83.29796855224261,0.00973845202804099,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F3_1,82.44902273769674,0.009639200891031856,8553.512232990794,64,700
dCorg,ExtraTrees,Jour_Semis,79.31216968568702,0.009272468142359222,8553.512232990794,64,700
dCorg,ExtraTrees,has_prepa,59.27812389834303,0.006930267039276337,8553.512232990794,64,700
dCorg,ExtraTrees,prepa_1,35.395721296077134,0.004138150543534183,8553.512232990794,64,700
dCorg,ExtraTrees,type_f2_1,19.674906203675192,0.002300213721304953,8553.512232990794,64,700
dCorg,ExtraTrees,Dose_F3_2,-28.79265240715278,-0.0033661789008846994,8553.512232990794,64,700
rdt,ExtraTrees,n_ferti,0.05250611879703593,0.448844786649661,0.11698056958388776,64,700
rdt,ExtraTrees,Jours_op_recolte,0.012271964948259537,0.10490601124539067,0.11698056958388776,64,700
rdt,ExtraTrees,Jours_semis_F1,0.008300159445185766,0.07095331707402613,0.11698056958388776,64,700
rdt,ExtraTrees,Jour_Semis,0.00455542308276519,0.03894170714819829,0.11698056958388776,64,700
rdt,ExtraTrees,has_prepa,0.0037731458960544263,0.032254466784320715,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F1_2,0.003598851632203765,0.030764524783947114,0.11698056958388776,64,700
rdt,ExtraTrees,Jours_av_PREPA,0.0032611182044518603,0.027877434825732187,0.11698056958388776,64,700
rdt,ExtraTrees,prepa_2,0.003027939598943891,0.025884124258537908,0.11698056958388776,64,700
rdt,ExtraTrees,Jours_F1_F2,0.0026858493556672276,0.022959790375624577,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F3_2,0.00263540745890602,0.02252859144283912,0.11698056958388776,64,700
rdt,ExtraTrees,nb_f1,0.002455286795544057,0.020988842884572808,0.11698056958388776,64,700
rdt,ExtraTrees,nb_f2,0.0024539568384778013,0.02097747384208151,0.11698056958388776,64,700
rdt,ExtraTrees,type_f3_2,0.0020093775617792495,0.017177019815571234,0.11698056958388776,64,700
rdt,ExtraTrees,type_f3_1,0.0020035551970739836,0.017127247748928227,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F3_1,0.0019952440362089475,0.0170562003870065,0.11698056958388776,64,700
rdt,ExtraTrees,prepa_1,0.001725561444985618,0.01475083811887412,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F1_1,0.0016143670991111152,0.013800301236808723,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F2_1,0.001582010160021163,0.013523700266194122,0.11698056958388776,64,700
rdt,ExtraTrees,nb_prepa,0.0012606673332782431,0.01077672418387575,0.11698056958388776,64,700
rdt,ExtraTrees,Jours_F2_F3,0.0012537541835740355,0.010717627619986562,0.11698056958388776,64,700
rdt,ExtraTrees,type_f2_1,0.0006927325909907589,0.005921774816577504,0.11698056958388776,64,700
rdt,ExtraTrees,type_f1_2,0.000559711800152086,0.004784656136852812,0.11698056958388776,64,700
rdt,ExtraTrees,type_f2_2,0.0005403564537364164,0.004619198347712969,0.11698056958388776,64,700
rdt,ExtraTrees,type_f1_1,0.00023872115377702313,0.002040690643122866,0.11698056958388776,64,700
rdt,ExtraTrees,nb_f3,0.0002220467167069897,0.0018981504150375854,0.11698056958388776,64,700
rdt,ExtraTrees,Dose_F2_2,-0.00024275820100333803,-0.0020752010514810673,0.11698056958388776,64,700
